Cuno,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,Total
000139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,2350
00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2950,5900,2950,11800,0,0,0,17700
000170,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,3850,695,7120,0,0,0,0,15010
000253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,45
000293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,70.2,0,22.5,0,0,0,0,0,210.7
000294,0,5995,0,0,0,0,0,0,0,6670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9000,6000,3000,3000,3000,18665
000372,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.8,0,1919.8
00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,435,435,435,1570
00401,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495
000428,0,0,0,0,0,0,0,0,0,0,0,500,750,7303.5,750,750,750,750,750,750,750,750,750,750,750,750,750,0,5075,5075,10150,5075,5075,5075,5075,5075,5075,69053.5
000431,5075,5075,5075,5075,10150,5075,7797.5,5075,5075,0,0,0,21350,23290,4950,4950,29600,9900,4950,0,0,4950,4950,4950,4950,0,0,0,0,0,0,0,0,0,0,0,0,172262.5
000448,0,0,0,0,0,0,0,0,0,0,4051.96,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10578.1,20652.7,19229.7,30068.24,27094.29,25671.44,20454.59,32933.44,49618.9,34503.3,37681.3,314032.96
000481,30715.5,56628.81,39063.83,29859.7,15443.4,19084.8,13959.17,32079.65,37566,27987.7,46628.23,53897.17,27788.8,53110.5,35256.8,10632.3,7658.5,11021,3896.4,12383.4,10423,4376,18686.3,16474.3,1246,0,0,0,0,750,1050,0,0,0,0,0,0,617667.26
000483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,2900,0,0,0,0,0,0,0,0,0,0,0,3255
0000501,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,295,0,0,0,0,0,0,202.5,360,0,0,159,0,2664,117,0,920,0,1102.5,292.5,6212.5
0000502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412.5,0,0,0,0,0,0,0,0,0,2412.5
0000503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470,0,0,1265,2695,1010,0,375,225,2910,365,2442,0,5263.75,2150,620,1175,3205,27170.75
0000505,5155,3920,-3440,-4931.25,-6.47,3900,3313,563,1835,990,195,455,100,235,0,790,1100,4080,90,485,1306.75,1678.33,197.6,2416.25,175,7179.75,454.05,2465,1950,8966.3,1355,2252.2,2096.6,5643,292.5,2301.58,899.71,60457.9
0000506,333,1801.5,437,1003,595,2802.5,1445.1,2142,2333.3,1896,247.5,966.22,304,732.5,1345,996.5,2636.55,447.1,0,8217,14423.88,25769,23074,7302,11783.75,5500,5500,295.25,57,-790,2375,2770,497.5,0,3780,3390,320,136728.15
0000508,910,3225,1345,1375,320,245.5,1363.5,374,2068,1505,512,7039,995.5,3410,365,504,0,0,172.5,0,0,0,0,94,0,350,0,270,0,0,3005,0,475,0,185,0,0,30108
0000511,0,-1050,-740,1375,1050,0,0,0,0,0,0,0,87.5,1020,2492.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780,0,0,0,0,0,0,0,8015
000525,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,4200,4200,0,0,445.25,0,0,0,540,0,0,0,0,0,0,0,0,0,0,1550,0,11530.25
000527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,6550.31,7515.31
000554,9366,26175,11775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47316
000569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
000675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4188,4188,8376,4188,20940
00723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
000759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000815,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,0,0,0,3825,10800,0,0,0,0,0,0,0,34368
000910,0,0,0,0,0,0,0,0,0,0,0,217.8,0,0,0,0,284,0,0,0,0,0,0,0,0,-346,0,764,325,425,-300,439,1674,0,0,475,0,3957.8
000911,0,0,0,0,-425,2985,-1037.5,3909.3,0,0,0,0,0,0,0,0,0,-427.45,0,0,500.33,0,0,0,0,0,0,0,0,0,-90,2720.75,0,0,0,0,0,8135.43
000914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000933,0,0,0,0,0,0,0,0,0,15100,7100,43650,48225,0,0,10600,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,132775
001014,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4060
001024,0,0,0,1168.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168.75
001044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5075,0,0,0,3490,5075,0,0,0,0,0,0,0,8280,0,0,0,21920
001060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4200,-2400,8640,0,49215,0,0,0,0,0,0,0,0,51255
001125,0,0,0,0,8113,0,0,0,0,0,0,4582.25,0,0,0,0,0,0,0,0,4567.5,4567.5,0,10230,2000,8250.2,4195,0,0,13875,0,0,0,12650,6595.5,4942.5,0,84568.45
01214,0,0,0,0,0,0,0,0,0,0,0,0,2394,0,0,0,2115,0,0,0,8640,1000,0,562.5,0,2231.25,0,0,0,0,0,0,0,0,0,0,0,16942.75
001219,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090.8,10090.8,0,20332.6
001434,0,0,5598,6249.8,22694.2,17096.2,22827.2,24395.4,17427.2,17707.2,0,0,0,1235,0,3814,10811,8416,3445,10025,13745,3445,0,0,0,0,0,0,0,0,1100,0,0,23086.74,15867.16,7907.44,943.5,237836.04
001474,12173.38,18356.35,15743.7,36339.68,5095.75,14428.75,34818.3,19890,7933.75,15310.2,6807.65,9150.25,13257.53,20827.25,37249.65,64380.91,55566.24,132763.14,110222.9,210103.9,156092.3,59386.94,76516.15,45404.75,24696.75,74515.25,66660.95,36669,23506.75,4361.03,7716.3,12961.65,0,0,0,0,0,1428907.1
001475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,150,75,75,75,0,3330,0,0,0,0,0,4080
001476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,0,2282,3672
001560,3450,0,0,0,0,0,0,0,2103.5,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,2507.5,0,5463,0,0,14144
001668,0,0,0,0,0,1152,2695.5,6530.13,9906.75,0,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23723.5,0,0,0,0,0,0,0,0,45186.88
001677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6395,6395,6395,6395,11660,6395,6395,6395,6395,6395,69215
001713,6395,6271,6395,6395,11660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51116
001806,3350,4475,0,0,0,-1117,930,4972.5,3015,3015,3881,3640,0,364,0,0,0,2170,8514,3015,0,1417.5,3015,0,0,0,0,0,0,0,0,0,2785,2785,2785,2785,315,56112
001811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3400,4995,0,0,0,0,0,0,0,0,0,0,423.94,3634.5,445,0,0,5227,35172.5,41337.5,0,0,94740.44
001825,663,0,0,999,1453.5,544.5,0,0,499.5,0,5171.4,0,207,1201.5,459,0,1204.2,900,0,0,0,0,0,0,1630,1344,0,0,0,0,0,0,0,0,0,0,0,16276.6
001854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001867,0,0,0,0,0,0,0,0,0,0,0,0,0,3245.83,7225,0,0,0,0,0,0,0,0,0,0,0,0,0,3493.75,5650,5650,6622.22,0,0,0,0,0,31886.8
001871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315
001873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001919,0,0,0,-1692,4653,1125,0,0,0,0,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6866
001921,0,0,0,103.5,0,0,0,0,0,0,105,0,0,1638,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546.5
001926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0,860
001933,0,0,0,0,0,0,0,178.43,108,11686.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2935,0,0,0,0,0,0,14907.56
001951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756,756,756,756,756,756,756,0,5292
001998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967
002012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1430,4875,3445,0,0,0,0,0,6890
002038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,14500,0,1300,0,16385
002044,0,0,0,0,0,0,0,0,0,2295,6908,0,5750.5,6540,4980,5615,965,0,1948,0,0,10869,13207.5,1873.5,550,0,0,0,21825,18657.4,16222.5,16568.9,16308.9,21806.15,17386,7161.9,22047.15,219485.4
002056,0,0,12334.5,18914.7,21180,16972.5,17627,805.5,159873.4,112100,64030.2,82536.2,86068.4,116869.4,117267.87,211487.2,235914.52,159328.52,258815.9,266591.41,205944,94591.41,81294.8,158033.6,90925.85,150193.7,146425.7,236585.6,269886.4,257963.42,276559,161357.2,133816.2,102475.4,95602.9,88786.9,108530.7,4617690
002065,166057.5,259415.64,298020.9,234043.2,216709.86,170006.72,32341.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376595.62
002068,0,0,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805.63,0,0,0,0,0,0,0,4055.63
002099,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610
002119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,1750,3400
002136,0,0,0,0,0,0,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815
002156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-170,0,0,1190,1020
002184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100,8100
002265,0,0,0,0,0,0,0,8710,0,0,0,3750,0,0,2015,0,1080,12240,0,0,1597.5,0,0,0,13258,0,5500,0,4666,0,0,0,2279.5,6262.2,5059.8,0,0,66418
002270,28495,18495,8294.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5210,3400,3400,3400,0,0,0,0,0,0,0,0,0,0,70694.63
002288,0,4000,0,0,3325,0,0,0,3670,9590,4795,0,0,3325,0,0,0,0,0,0,7696,7696,9478,7390,0,0,0,0,0,0,0,0,0,0,0,0,0,60965
002294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11495,0,1303.88,0,0,3200,0,0,0,0,0,1700.5,0,5150,5150,27999.38
002301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5900,7690,1790
002324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,3271.5,3271.5,0,0,0,345,7913
002367,0,0,4785,6240,0,0,0,0,0,395,0,0,0,0,2120,5850,395,0,0,1923.75,0,0,-107.1,-245,8326,0,0,0,0,0,0,0,0,0,0,0,0,29682.65
002372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,11950
002383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,18810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
002495,0,0,0,0,0,0,0,1477.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477.5
002518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
002536,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,990,660,2560,0,1240,0,0,0,0,0,323,0,7704
002544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-223.13,0,818.13,0,0,0,0,0,0,0,0,0,0,2200,6500,2085,6500,0,0,4680,0,0,22560
002569,0,0,0,4450,3200,3200,3200,3200,3200,3200,3200,0,5015,5015,5015,5015,5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51925
002604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3807,2073,2073,2339,2073,0,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,13060
002617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-340
002666,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,790,390,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,2445
002670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473,6540,11013
002674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330
02702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139507.2,1969.53,106976.8,64064,56368,72897.69,2246.4,250460,273373.6,243569.6,239172,163328.8,151404,88960,81440,31664,13592,13928,30184,167084,167031.2,137737.6,119509.6,2616468.02
002705,89697.6,46636.6,-7432,45508,7944,3968,4204,12700,61140,67682.6,34420,41950.4,6210,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,415764.2
002737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400
002741,0,0,0,0,0,0,0,0,0,0,0,1650,7068,7114,8515,2909.75,1100,300,5420,4342.5,1714.5,0,5280,0,675,6848,1435.5,6985,14087.51,3928,0,2000,2124,2507,12612.25,11019.5,0,109635.51
0002779,0,0,0,0,5010,2250,4255.25,8384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,0,0,6580,0,28429.25
02805,0,0,0,0,0,0,0,0,0,4550,4070,0,0,0,0,0,0,0,0,0,0,8050,3450,0,0,0,0,0,0,0,0,0,0,7690,3300,0,0,31110
0002829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002968,0,0,0,0,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,0,0,877.5,0,0,930,0,0,0,0,0,0,0,0,0,1116,-50,1240,0,5973.5
003141,0,0,0,0,0,0,0,418.2,0,6085,0,0,0,0,2185,0,211.25,0,706.5,462.6,0,1157,0,0,945,0,0,0,2325,0,0,0,0,7900,7098,0,0,29493.55
